epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.5471,3.29383,4.85403,4.10651,0.00093,0.0928,0.00056,0.0001,3.51119,4.12003,4.34411,0.000206835,0.000206835,0.000206835
2,167.417,2.68359,4.38365,3.35991,0.0657,0.11804,0.03116,0.00999,2.30783,3.87227,2.95186,0.000411058,0.000411058,0.000411058
3,246.188,2.16918,3.64954,2.60133,0.10105,0.24792,0.06881,0.02675,2.00514,3.42183,2.48901,0.000611156,0.000611156,0.000611156
4,324.577,1.9324,3.27391,2.30117,0.09091,0.20467,0.09494,0.04062,1.94229,3.01472,2.39801,0.000606437,0.000606437,0.000606437
5,403.029,1.8374,3.05343,2.17359,0.09231,0.19697,0.08254,0.03062,2.09853,2.96819,2.48758,0.00060025,0.00060025,0.00060025
6,481.318,1.72873,2.8268,2.04277,0.13176,0.34763,0.13278,0.06969,1.64222,2.56058,2.07328,0.000594062,0.000594062,0.000594062
7,559.573,1.66191,2.68625,1.95623,0.13439,0.37537,0.14012,0.07159,1.66726,2.37737,2.05131,0.000587875,0.000587875,0.000587875
8,637.924,1.60554,2.62235,1.8992,0.15091,0.32624,0.15217,0.08478,1.5879,2.42478,2.04349,0.000581687,0.000581687,0.000581687
9,716.138,1.56611,2.53652,1.8564,0.14454,0.40027,0.17376,0.08977,1.57807,2.26679,1.99925,0.0005755,0.0005755,0.0005755
10,794.403,1.54405,2.50363,1.83207,0.14634,0.45371,0.18267,0.10191,1.51091,2.23835,1.91081,0.000569313,0.000569313,0.000569313
11,872.625,1.51937,2.44177,1.80848,0.17205,0.46638,0.1904,0.10949,1.44865,2.1982,1.89657,0.000563125,0.000563125,0.000563125
12,950.85,1.47509,2.39989,1.76471,0.16933,0.48711,0.18555,0.10972,1.42812,2.11554,1.84265,0.000556938,0.000556938,0.000556938
13,1029.06,1.45425,2.35062,1.74658,0.18554,0.47854,0.20647,0.11771,1.44391,2.08924,1.83664,0.00055075,0.00055075,0.00055075
14,1107.25,1.45207,2.31353,1.73293,0.19408,0.51872,0.22119,0.13221,1.37809,2.05428,1.79477,0.000544563,0.000544563,0.000544563
15,1185.34,1.42105,2.28201,1.70411,0.19831,0.52446,0.23558,0.13899,1.45487,2.01759,1.84773,0.000538375,0.000538375,0.000538375
16,1263.5,1.40591,2.24085,1.68445,0.193,0.52231,0.22862,0.14134,1.34545,1.99044,1.7445,0.000532187,0.000532187,0.000532187
17,1341.67,1.40738,2.22895,1.68002,0.22044,0.55157,0.2486,0.14591,1.39212,2.01915,1.76515,0.000526,0.000526,0.000526
18,1419.85,1.36681,2.16656,1.63803,0.22983,0.50603,0.26066,0.15616,1.3663,1.93483,1.76636,0.000519812,0.000519812,0.000519812
19,1497.99,1.3528,2.14713,1.6322,0.22167,0.54422,0.2455,0.15333,1.311,1.9883,1.71051,0.000513625,0.000513625,0.000513625
20,1576.16,1.36617,2.1361,1.63473,0.23493,0.49568,0.27796,0.16668,1.39791,1.92689,1.75843,0.000507438,0.000507438,0.000507438
21,1654.41,1.35111,2.11511,1.62637,0.24913,0.54855,0.30118,0.187,1.33059,1.84961,1.6897,0.00050125,0.00050125,0.00050125
22,1732.53,1.33016,2.09285,1.60424,0.27448,0.50076,0.31499,0.19017,1.38939,1.78335,1.76379,0.000495063,0.000495063,0.000495063
23,1810.63,1.33151,2.06557,1.59883,0.27639,0.51945,0.32521,0.20104,1.30723,1.78781,1.67278,0.000488875,0.000488875,0.000488875
24,1888.83,1.31782,2.06577,1.58264,0.247,0.54925,0.33065,0.20169,1.34989,1.79141,1.70282,0.000482687,0.000482687,0.000482687
25,1966.96,1.31286,2.03969,1.57829,0.26834,0.54052,0.3114,0.19413,1.3162,1.79761,1.68703,0.0004765,0.0004765,0.0004765
26,2045.06,1.3077,2.01897,1.57596,0.3017,0.521,0.34155,0.21545,1.27787,1.69978,1.64076,0.000470312,0.000470312,0.000470312
